antibody,n,mean_ratio_symmetric,mean_ratio_asymmetric,p_symmetric_vs_random,p_asymmetric_vs_random,p_paired_comparison,rho_density_polarization,p_density_polarization
GABA,10,0.48080213903743313,0.5166532976827094,0.7841348448991128,0.7599735457665919,0.8125,0.037043389328831805,0.919078688031489
GLUT,11,0.5221747949020676,0.4494111948657404,0.5752240959515569,0.5024279753255148,0.296875,0.0917469804271967,0.7884783134215824
