Antibody,P(Ctrl > LPS),P(LPS > Ctrl),Diff_Mean,Diff_CI_Low,Diff_CI_High,Effect_Size_d
GABA,0.9986,0.0013999999999999568,13.178151291931295,7.480719288466736,18.378281855693125,5.726028014728193
Glutamate,0.3085,0.6915,-3.8387427555852702,-21.752678665754665,14.5488250811931,-0.40284424875243313
