Antibody,Compartment_1,Compartment_2,Mean_1,SD_1,Mean_2,SD_2,Difference,Percent_diff,Paired_t_statistic,Paired_t_pvalue,Wilcoxon_pvalue,Cohens_d,N_animals
GLUT,Microglia,GLUT_terminals,31.879260874142737,10.123580461730043,69.2754626811322,24.636396171741016,-37.39620180698946,-53.981886745557105,-4.551047870189677,0.019877788525506927,0.125,-2.275523935094838,4
GLUT,Microglia,GABA_terminals,31.879260874142737,10.123580461730043,27.571585307342886,14.809688306343988,4.307675566799851,15.62360494974015,1.2817989410564508,0.28999752755816544,0.375,0.6408994705282254,4
GLUT,Microglia,Spine,31.879260874142737,10.123580461730043,20.825940894097656,10.036583206966487,11.053319980045082,53.074768800375004,5.078197782572272,0.014750568642040544,0.125,2.539098891286136,4
GABA,Microglia,GLUT_terminals,23.547369034003452,1.6765015003654673,6.302298780064369,1.8650055223858495,17.245070253939083,273.63142966958713,15.432722316662266,0.000591040559636234,0.125,7.716361158331133,4
GABA,Microglia,GABA_terminals,23.547369034003452,1.6765015003654673,258.5484412734442,55.877085364762785,-235.00107223944076,-90.89247302438793,-8.538429187489621,0.0033751790746944068,0.125,-4.26921459374481,4
GABA,Microglia,Spine,23.547369034003452,1.6765015003654673,10.051208969540744,1.9142517786907767,13.496160064462709,134.27399734063405,14.529615659820228,0.0007068896402051498,0.125,7.264807829910113,4
