"Antibody","Estimate","SE","df","t_value","p_value","CI_lower","CI_upper","N_profiles","N_animals"
"GABA",-13.4430869139786,2.32500718030749,189.999999994989,-5.78195500979087,2.98831527171675e-08,-18.0000172511783,-8.88615657677893,192,6
"GLUT",4.68641745265956,8.18995336219676,4.1906222411489,0.572215401651877,0.596480377819862,-11.3655961723088,20.7384310776279,166,6
