Antibody,Control_mean,Control_SD,Control_n,LPS_mean,LPS_SD,LPS_n,Difference,Percent_change,MannWhitney_U,MannWhitney_pvalue,Welch_t_statistic,Welch_t_pvalue,Permutation_pvalue,Hedges_g,Bootstrap_CI_lower,Bootstrap_CI_upper,Bayesian_prob_ctrl_greater
GABA,23.547369034003452,1.6765015003654673,4,10.109167238601511,2.383073091953876,2,13.438201795401941,-57.068803635754705,8.0,0.13333333333333333,7.140122471993594,0.03746804774498228,0.06666666666666667,5.7237690701751625,10.789216621916317,16.08718696888757,0.99939
GLUT,31.879260874142737,10.123580461730043,4,36.6522020537228,6.3522771639788935,2,-4.772941179580066,14.971931747173592,2.0,0.5333333333333333,-0.7052864084357625,0.5265294151790431,0.5333333333333333,-0.40948098644809267,-15.463231502128767,5.9173491429686464,0.29322
