"Antibody","Comparison","Estimate","SE","df","t_value","p_value","CI_lower","CI_upper","N_profiles","N_animals"
"GLUT","Microglia vs GLUT_terminals",37.8793937909658,2.63522787114547,375.027343500943,14.3742384503928,1.25304398665251e-37,32.7144420724646,43.0443455094671,382,4
"GLUT","Microglia vs GABA_terminals",-3.78214398747516,2.79090703586385,375.037148195495,-1.35516659597531,0.176180125297248,-9.25222126196775,1.68793328701743,382,4
"GLUT","Microglia vs Spine",-11.0410857589185,2.57762761825999,375.032421315066,-4.28342933661292,2.34133546650462e-05,-16.0931430562639,-5.98902846157319,382,4
"GABA","Microglia vs GLUT_terminals",-20.0077742339792,5.83763664445731,463.358894648826,-3.42737574339713,0.00066379203479343,-31.4493318119467,-8.5662166560116,468,4
"GABA","Microglia vs GABA_terminals",233.841387937067,6.1468020301757,461.981598703246,38.0427719632257,1.92642046666037e-144,221.793877337825,245.888898536309,468,4
"GABA","Microglia vs Spine",-17.1870413133683,5.91499934661782,463.816384186581,-2.90567087267656,0.00383993402410081,-28.7802270013172,-5.59385562541942,468,4
