Antibody,Terminal_Type,n,Spearman_rho,Spearman_p,Pearson_r,Pearson_p,Interpretation
GABA,Symmetric (GABA),44,0.1712472640832815,0.2663707427465077,0.09500941131978903,0.5395666831392913,Farther = more GABA
GLUT,Asymmetric (GLUT),56,-0.179486698184866,0.1856227109179864,-0.24202930461460084,0.07231104046040077,Closer = more GLUT
