"Antibody","P_Ctrl_greater_LPS","P_LPS_greater_Ctrl","Effect_Mean","Effect_CI_Low","Effect_CI_High","Cohen_d"
"GABA",0.99725,0.00275000000000003,-13.0259147095794,-17.864705917177,-7.31002987549025,-5.9153784087505
"Glutamate",0.308875,0.691125,3.86222534048443,-14.6288242067937,21.2799259028366,0.40257445387223
