Antibody,n,Closer_to_symmetric,Closer_to_asymmetric,Mean_dist_symmetric_nm,Mean_dist_asymmetric_nm,Mean_difference_nm,Wilcoxon_W,Wilcoxon_p,Paired_t,Paired_p
GABA,13,6,7,401.9190747757985,182.42659480894966,-219.49247996684892,29.0,0.2734375,1.5821101062631242,0.13960941700545085
GLUT,26,13,10,312.953624675194,357.32079120846663,44.36716653327261,130.0,0.8077578019309388,-0.5678291544569422,0.5752157204705206
