Antibody,n,Closer_symmetric,Closer_asymmetric,Mean_dist_symmetric_nm,Mean_dist_asymmetric_nm,Wilcoxon_p,Paired_t_p
GABA,15,7,8,371.0805407093177,220.2959416045066,0.389404296875,0.2926458922015586
GLUT,37,17,15,282.73345818997734,305.5799915498859,0.8079386079628512,0.7095140546409466
