folder,animal,treatment,antibody,image,profile_id,density,area_um2,n_particles,dist_to_symmetric_nm,dist_to_asymmetric_nm,closer_terminal,distance_diff_nm,n_symmetric_terminals,n_asymmetric_terminals
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv52.tif,132,49.29745992668639,0.50712552,25,0.0,,symmetric,,1,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv74.tif,184,17.60403952149122,0.28402572000000004,5,635.9940880228369,822.4113714623443,symmetric,186.4172834395074,1,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv75.tif,185,55.131335245104246,0.054415515000000025,3,,7.734586189927035,asymmetric,,0,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv56.tif,178,23.326007606261193,0.17148240999999997,4,,334.2843714563995,asymmetric,,0,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv68.tif,181,18.77345662738395,0.42613356500000005,8,,60.046431351223156,asymmetric,,0,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv86.tif,192,35.10180217917657,0.7407027100000002,26,0.0,,symmetric,,1,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv62.tif,180,19.59430370982344,1.3269162499999996,26,,0.0,asymmetric,,0,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv54.tif,139,33.90653172884235,0.05898568499999999,2,783.9636024714414,595.6477146770563,asymmetric,-188.31588779438505,2,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv54.tif,138,51.55518411561727,0.6594875100000003,34,0.0,0.0,equal,0.0,2,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv54.tif,176,8.453028748729642,0.47320317,4,468.5631368078185,536.0353160007277,symmetric,67.47217919290915,2,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv51.tif,175,8.592462896048202,0.5819053350000001,5,,310.4144648691488,asymmetric,,0,2
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv80.tif,189,21.52557010633869,0.23228188499999994,5,828.0118654182266,307.13843784196087,asymmetric,-520.8734275762658,1,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv47.tif,119,25.570512844397363,0.54750564,14,374.50284189365516,425.07279376596193,symmetric,50.569951872306774,1,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv46.tif,170,26.15141851766516,0.38238843499999997,10,,,none,,0,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv46.tif,171,25.8085684705408,0.11624046499999996,3,,,none,,0,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv46.tif,172,30.60764781665086,0.16335786500000013,5,,,none,,0,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv78.tif,187,17.469264357922857,0.6296773450000004,11,,522.1432466287389,asymmetric,,0,2
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv72.tif,183,18.002325990529602,0.3332902650000001,6,,683.8745206541913,asymmetric,,0,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv85.tif,191,38.467093997613894,0.05199248999999999,2,,603.4590375493602,asymmetric,,0,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv55.tif,177,37.76702110071793,0.15886876500000002,6,0.0,,symmetric,,3,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv55.tif,144,60.45677555385368,0.23157040500000006,14,11.89831920903119,,symmetric,,3,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv48.tif,173,16.87968548419631,0.47394248,8,,,none,,0,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv76.tif,186,27.06635309695129,0.22167744500000003,6,501.059357761134,162.93372885931257,asymmetric,-338.1256289018214,1,1
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv43.tif,167,24.81920039816615,0.6043708000000002,15,,,none,,0,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv44.tif,168,49.21080629937689,0.22352814000000001,11,,,none,,0,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv45.tif,169,20.688893072068126,0.19334045500000005,4,,,none,,0,0
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv82.tif,190,54.52319817595909,0.09170408500000005,5,,0.0,asymmetric,,0,3
E3 iba1 glut GA3 hippo,GA3,Control,GLUT,Tv53.tif,133,66.30804886749367,0.37702813500000004,25,0.0,123.61301649160525,symmetric,123.61301649160525,2,1
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv11.tif,148,45.723169072848414,0.1749660000000001,8,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv11.tif,147,14.577400432589217,0.20579801,3,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv40.tif,165,23.56079313640366,0.8064244650000003,19,,0.0,asymmetric,,0,1
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv41.tif,166,15.269638530245375,0.26195774,4,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv37.tif,162,12.613682950790377,1.3477427700000002,17,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv20.tif,151,23.24883694787064,1.333400035,31,563.0495892903219,,symmetric,,2,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv21.tif,152,15.387681718388576,1.8196373250000006,28,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv7.tif,182,16.82170743778944,0.356681985,6,,11.465627950715298,asymmetric,,0,1
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv6.tif,179,17.51862269008857,0.28541056500000006,5,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv27.tif,156,21.206880756254325,0.14146352000000006,3,0.0,1136.2488855880124,symmetric,1136.2488855880124,1,1
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv1.tif,145,8.301431853103173,0.3613834400000001,3,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv31.tif,160,14.979960277264828,0.2670234050000001,4,377.42941176470595,14.273568758396431,asymmetric,-363.1558430063095,1,4
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv28.tif,158,28.110178688675628,0.07114860499999999,2,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv28.tif,157,46.80293810124223,0.23502798000000005,11,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv17.tif,149,26.704852883396192,1.1608376999999999,31,,,none,,0,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv4.tif,164,14.984339866405623,0.6673633999999998,10,76.27127698096898,,symmetric,,1,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv22.tif,153,23.291043349217098,1.717398375,40,323.9028403703801,,symmetric,,2,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv38.tif,163,11.263322398524505,0.17756750000000002,2,,350.0324999357003,asymmetric,,0,1
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv32.tif,161,16.76842058686663,0.2385436350000001,4,830.8219206230611,1127.8884208998693,symmetric,297.06650027680814,1,1
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv10.tif,146,0.0,0.05713257,0,0.0,,symmetric,,3,0
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv3.tif,159,11.723286648617007,0.341201245,4,0.0,0.0,equal,0.0,1,2
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv2.tif,150,15.215970000437006,0.32860211999999994,5,,16.725788471698383,asymmetric,,0,2
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv8.tif,188,12.702515207570295,0.31489826499999996,4,,0.0,asymmetric,,0,1
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv24.tif,154,26.588840811454478,1.4667807549999996,39,,0.004808102878222735,asymmetric,,0,2
E4 iba glut GA4 hippo,GA4,Control,GLUT,Tv25.tif,155,24.949274616213486,1.6032530250000006,40,,,none,,0,0
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv21.tif,294,48.21599609064702,0.29036007000000014,14,,0.0,asymmetric,,0,1
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv14.tif,289,41.39919827495454,0.5072562,21,699.281135040478,660.2969332050543,asymmetric,-38.98420183542373,1,1
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv7.tif,306,48.37958997852402,0.516746835,25,208.62168896654447,,symmetric,,1,0
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv19.tif,292,43.38539819736707,0.23049229500000004,10,230.38632771933328,0.0,asymmetric,-230.38632771933328,1,1
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv18.tif,291,30.715773509565086,0.586018125,18,0.0,421.5679665439333,symmetric,421.5679665439333,1,1
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv27.tif,299,22.61033771320446,0.44227557000000006,10,,0.0,asymmetric,,0,3
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv26.tif,298,39.40712764599159,0.22838508,9,,0.0,asymmetric,,0,3
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv13.tif,313,45.590276255133766,0.17547601500000007,8,0.0,0.0,equal,0.0,2,3
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv30.tif,303,64.32364570986209,0.18655658999999997,12,,0.0,asymmetric,,0,2
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv29.tif,301,63.885461034620235,0.06261205500000001,4,587.8320225818385,,symmetric,,1,0
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv29.tif,300,38.26671671953214,0.07839710999999999,3,1310.7274316195567,,symmetric,,1,0
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv16.tif,290,23.006514294522496,0.47812544999999995,11,,437.43426581927815,asymmetric,,0,1
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv4.tif,304,42.44634635910894,1.1308393799999998,48,,118.00787301407595,asymmetric,,0,1
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv5.tif,305,37.57074134506313,0.5589455850000001,21,,,none,,0,0
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv23.tif,295,0.0,0.04164336000000001,0,12.39055170860699,347.2730221455626,symmetric,334.8824704369556,1,1
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv3.tif,302,40.095655912928606,1.0225546650000006,41,,,none,,0,0
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv2.tif,293,15.979394251524779,0.5632253549999998,9,510.09290330291805,,symmetric,,1,0
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv24.tif,296,77.4162653232364,0.09042027500000001,7,767.8795804030735,3.413795215420607,asymmetric,-764.465785187653,1,1
F1 iba glut LPS1 hippo,LPS1,LPS,GLUT,Tv25.tif,297,60.975610917980376,0.26239999500000005,16,,239.65362505082197,asymmetric,,0,1
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv40.tif,380,30.926982168275245,0.09700267500000004,3,417.55107472020717,,symmetric,,2,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv41.tif,381,30.04699236930338,0.13312480499999998,4,,,none,,0,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv62.tif,391,26.242763115224342,0.3810574350000001,10,,83.3363269902532,asymmetric,,0,1
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv50.tif,386,28.350529346908704,0.10581812999999998,3,,,none,,0,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv64.tif,392,50.920232255908516,0.13746991499999997,7,,,none,,0,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv65.tif,393,43.71066477277095,0.3431656800000003,15,0.0,0.0,equal,0.0,1,2
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv60.tif,390,49.30990176111546,0.20279902500000002,10,,,none,,0,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv54.tif,388,31.951375119288482,0.5633560349999996,18,,,none,,0,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv49.tif,385,11.392266553518667,0.08777884500000006,1,0.0,,symmetric,,2,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv48.tif,384,42.291133431274886,0.21281056500000006,9,522.8193655556381,,symmetric,,1,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv42.tif,382,24.996717498356976,0.5200682849999999,13,,,none,,0,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv34.tif,377,31.920800408324496,0.626550705,20,,2.56654977293224,asymmetric,,0,2
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv39.tif,379,34.46002985444685,0.17411476500000006,6,152.26559033478316,123.20982103712352,asymmetric,-29.055769297659637,1,1
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv38.tif,378,22.715489067319055,0.22011412500000002,5,,,none,,0,0
