Analysis,Antibody,Comparison,Estimate,SE,CI_lower,CI_upper,p_value,N_profiles,N_animals
Compartment_comparison,GLUT,Microglia vs GLUT_terminals,37.8793762811444,2.635301983816762,32.71427930447659,43.044473257812214,7.553845370512136e-47,382,4
Compartment_comparison,GLUT,Microglia vs GABA_terminals,-3.782142986912013,2.7909157028288742,-9.2522372483439,1.6879512745198726,0.17536593944640566,382,4
Compartment_comparison,GLUT,Microglia vs Spine,-11.04108789248917,2.5776364443909703,-16.093162488733356,-5.989013296244986,1.840460169060658e-05,382,4
Compartment_comparison,GABA,Microglia vs GLUT_terminals,-20.007630876226166,5.844110782036846,-31.461877530680596,-8.553384221771738,0.0006180789122535431,468,4
Compartment_comparison,GABA,Microglia vs GABA_terminals,233.84146682163896,6.148670372404124,221.7902943389184,245.89263930435953,0.0,468,4
Compartment_comparison,GABA,Microglia vs Spine,-17.186844889388095,5.926984276879414,-28.80352060900692,-5.570169169769269,0.003734458755720034,468,4
Control_vs_LPS,GABA,Control vs LPS (Microglia),-13.443086910551406,2.325583907453359,-18.00114761218592,-8.88502620891689,7.4469584887714984e-09,192,6
Control_vs_LPS,GLUT,Control vs LPS (Microglia),4.686418026793054,8.190214827345377,-11.366108060449822,20.738944114035927,0.5671883813050997,166,6
