folder,animal,treatment,antibody,compartment,image,image_normalized,profile_id,centroid_x,centroid_y,area_nm2,area_um2,n_particles,density
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv36 (2).tif,Tv36.tif,65,445.51242530316273,1217.0740983247908,177400.2222,0.17740022219999999,8,45.09577215174424
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv1 (2).tif,Tv1.tif,84,1051.9644584923662,1313.1179079198475,69727.00319999999,0.0697270032,2,28.683292099379944
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv31 (2).tif,Tv31.tif,54,955.4430818292849,940.268362057267,40857.05205,0.040857052049999995,1,24.475578873782208
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv15 (2).tif,Tv15.tif,11,197.71816473025976,366.2689909716571,149844.30570000006,0.14984430570000007,6,40.04156161938156
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv12 (2).tif,Tv12.tif,4,1161.5479659413431,1367.3075212866604,52744.35285000001,0.05274435285000001,0,0.0
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv35 (2).tif,Tv35.tif,64,1277.5226507359466,1516.5457510196845,375181.84259999986,0.37518184259999987,12,31.98449028567142
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv32 (2).tif,Tv32.tif,56,985.8079479924978,1278.5016485996757,174411.76365000004,0.17441176365000002,5,28.66779106731428
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv30 (2).tif,Tv30.tif,42,956.5911939182453,892.4727853938188,88977.33360000003,0.08897733360000003,2,22.477634686054465
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv23 (2).tif,Tv23.tif,30,1470.4709486259046,1034.6107962102037,188433.67770000006,0.18843367770000005,6,31.84144189741088
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv37 (2).tif,Tv37.tif,66,463.47828,1647.9513197142855,194055.75,0.19405575,6,30.918949837868755
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv27 (2).tif,Tv27.tif,35,1211.3904829539429,1700.8543399028363,522697.47930000006,0.5226974793000001,12,22.95783024641802
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv22 (2).tif,Tv22.tif,24,1366.9407050725122,832.3467379536188,82961.60535000001,0.08296160535000001,5,60.26884338732241
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv31 (2).tif,Tv31.tif,53,1734.6991588936648,1741.3926506610426,68357.52404999999,0.06835752405,2,29.257935067061577
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv16 (2).tif,Tv16.tif,15,1515.3060999886409,534.738144771966,1171453.5738000006,1.1714535738000007,18,15.365525704626084
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv1 (2).tif,Tv1.tif,1,1034.5938862493017,1320.0894069527455,57309.899400000046,0.057309899400000044,2,34.89798483226789
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv13 (2).tif,Tv13.tif,6,716.279563505087,841.8758024286186,101363.63490000002,0.10136363490000001,2,19.730941988940057
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv4 (2).tif,Tv4.tif,70,1269.1678016688063,996.6182186234821,224594.58060000002,0.2245945806,10,44.52467184775873
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv14 (2).tif,Tv14.tif,8,1261.8252556740495,1587.0286464315016,60828.16094999998,0.06082816094999998,2,32.879507924692575
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv3 (2).tif,Tv3.tif,41,1459.5299322591686,646.6696936649112,923245.1806500001,0.9232451806500002,29,31.41094111055406
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv33 (2).tif,Tv33.tif,61,988.604714227142,1039.2890102501026,202843.70325,0.20284370324999998,7,34.50932855121792
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv8 (2).tif,Tv8.tif,73,1008.3064617532251,534.5892914200036,214475.9593500001,0.2144759593500001,6,27.975163361823178
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv28 (2).tif,Tv28.tif,39,1481.7928755722012,1451.4713524760714,79939.88010000004,0.07993988010000004,1,12.509400799063739
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv18 (2).tif,Tv18.tif,21,1751.8473507642177,1671.8720962060677,357312.0802500001,0.3573120802500001,14,39.181434868377906
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv38 (2).tif,Tv38.tif,69,1658.6548316671006,1319.6593667804711,362146.8406500001,0.3621468406500001,10,27.61310848950519
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv35 (2).tif,Tv35.tif,63,1242.1285810423653,879.4223760438894,909567.0225000004,0.9095670225000004,27,29.684453517002908
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv20 (2).tif,Tv20.tif,22,1213.9767487161325,1296.5420488755092,93928.52745000002,0.09392852745000002,3,31.939178452435105
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv11 (2).tif,Tv11.tif,3,1059.3635549783085,1084.532393283702,207040.8519,0.20704085190000002,6,28.979788022211086
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv13 (2).tif,Tv13.tif,7,1377.255336436224,1461.507378325242,138184.32735000004,0.13818432735000002,8,57.89368558228176
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv34 (2).tif,Tv34.tif,62,997.9556500720018,1205.9805194404446,107806.28580000003,0.10780628580000003,7,64.93127880303987
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv10 (2).tif,Tv10.tif,85,1693.7809204023704,1345.1295275091281,1486528.0339500012,1.4865280339500013,52,34.9808404634157
E1 iba glut GA1 hippo,GA1,Control,GLUT,microglia,Tv12 (2).tif,Tv12.tif,5,1997.903473694171,792.3146494133235,117187.49519999999,0.11718749519999999,2,17.066667365717365
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv30 (2).tif,Tv30.tif,45,330.31133961143644,1909.9669958428779,196057.29645000005,0.19605729645000006,3,15.301649335785275
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv32 (2).tif,Tv32.tif,57,812.2893740766278,453.5628582684922,337756.80510000006,0.33775680510000006,14,41.44994205477223
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv20 (2).tif,Tv20.tif,23,1982.9145721067493,1369.6720907108036,259280.6598,0.2592806598,10,38.56824495785243
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv16 (2).tif,Tv16.tif,115,728.1860013579293,1454.2127946050566,210587.79500000004,0.21058779500000005,3,14.245839840813183
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv13 (2).tif,Tv13.tif,112,1256.2750271674165,2067.096034100541,259808.78000000017,0.2598087800000002,9,34.64086163677761
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv14 (2).tif,Tv14.tif,113,565.1624785320887,1058.1626837209096,406402.09500000003,0.406402095,19,46.751727497861445
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv19 (2).tif,Tv19.tif,117,849.3612836872161,823.2992729510719,147453.625,0.147453625,3,20.34537977618387
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv28 (2).tif,Tv28.tif,40,1884.8620272276332,1822.8070429776608,153132.16455000002,0.15313216455,5,32.651533495220875
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv29 (2).tif,Tv29.tif,118,919.4895265721556,1225.3399466375863,138696.24999999997,0.13869624999999997,5,36.05000135187506
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv16 (2).tif,Tv16.tif,114,680.4977900406785,850.7696211027381,152940.97500000006,0.15294097500000006,3,19.615410454915686
E1 iba glut GA1 hippo,GA1,Control,GLUT,gaba_terminal,Tv15 (2).tif,Tv15.tif,13,1771.9053615491466,1453.4754379442768,135717.04710000005,0.13571704710000004,8,58.94616904024872
